drug_name_1,drug_name_2,severity,interaction_type,clinical_effect,mechanism,management,confidence_score
Warfarin,Aspirin,critical,pharmacodynamic,"Increased bleeding risk","Anti-platelet plus anticoagulant","Avoid combination; monitor INR",95
Warfarin,Ibuprofen,critical,pharmacodynamic,"Increased GI bleeding","NSAID plus anticoagulant","Use acetaminophen instead",92
Warfarin,Naproxen,critical,pharmacodynamic,"Increased bleeding risk","NSAID plus anticoagulant","Avoid combination",90
Warfarin,Amiodarone,critical,pharmacokinetic,"INR increases by 50 percent","CYP2C9 inhibition","Reduce warfarin dose by 30 to 50 percent",94
Warfarin,Ciprofloxacin,critical,pharmacokinetic,"Increased anticoagulant effect","Antibiotic interaction","Monitor INR frequently",88
Warfarin,Metronidazole,critical,pharmacokinetic,"Significant INR increase","Antibiotic interaction","Reduce warfarin dose",89
Warfarin,Fluconazole,critical,pharmacokinetic,"Increased warfarin effect","Azole antifungal","Reduce warfarin dose",91
Warfarin,Omeprazole,moderate,pharmacokinetic,"May increase INR","PPI interaction","Monitor INR",75
Warfarin,Simvastatin,moderate,pharmacokinetic,"Increased bleeding risk","Statin interaction","Monitor INR",72
Warfarin,Vitamin K,critical,pharmacodynamic,"Reverses anticoagulation","Direct reversal","Avoid supplements",96
Metformin,Insulin,moderate,pharmacodynamic,"Increased hypoglycemia risk","Additive effect","Monitor blood glucose",88
Metformin,Sulfonylureas,moderate,pharmacodynamic,"Additive hypoglycemia","Oral diabetic combination","Monitor glucose; adjust doses",85
Metformin,Contrast Dye,critical,pharmacodynamic,"Risk of lactic acidosis","Renal interaction","Stop metformin 48 hours before",90
Metformin,ACE Inhibitors,moderate,pharmacodynamic,"May increase hypoglycemia","Additive effect","Monitor glucose",70
Insulin,Beta Blockers,moderate,pharmacodynamic,"Masks hypoglycemia symptoms","Beta blocker effect","Monitor glucose closely",82
Amiodarone,Digoxin,critical,pharmacokinetic,"Doubles digoxin levels","CYP inhibition","Reduce digoxin dose by 50 percent",93
Amiodarone,Simvastatin,critical,pharmacokinetic,"Increased myopathy risk","Statin interaction","Limit simvastatin to 20mg",91
Amiodarone,Warfarin,critical,pharmacodynamic,"INR increases significantly","Multiple mechanisms","Reduce warfarin dose",94
Digoxin,Furosemide,moderate,pharmacodynamic,"Hypokalemia risk","Electrolyte imbalance","Monitor potassium levels",80
Digoxin,Amiodarone,critical,pharmacokinetic,"Increases digoxin levels","P-glycoprotein inhibition","Monitor levels closely",93
Simvastatin,Fibrates,critical,pharmacodynamic,"Increased rhabdomyolysis risk","Muscle toxicity","Avoid combination",89
Simvastatin,Grapefruit,critical,pharmacokinetic,"5 to 10x increased statin levels","CYP3A4 inhibition","Avoid grapefruit products",95
Atorvastatin,Grapefruit,moderate,pharmacokinetic,"Increased statin levels","CYP3A4 inhibition","Limit grapefruit intake",72
Lisinopril,Potassium,critical,pharmacodynamic,"Risk of hyperkalemia","Potassium sparing","Avoid potassium supplements",92
Lisinopril,NSAIDs,moderate,pharmacodynamic,"Reduced BP control","Prostaglandin inhibition","Monitor blood pressure",75
Losartan,Potassium,critical,pharmacodynamic,"Severe hyperkalemia risk","ARB interaction","Avoid potassium supplements",91
SSRIs,MAOIs,critical,pharmacodynamic,"Serotonin syndrome risk","Neurotransmitter interaction","Never combine; 14-day washout",97
SSRIs,NSAIDs,moderate,pharmacodynamic,"Increased bleeding risk","Serotonin plus antiplatelet","Use with caution",78
SSRIs,Warfarin,moderate,pharmacodynamic,"INR may increase","Serotonin plus anticoagulant","Monitor INR",74
Lithium,NSAIDs,critical,pharmacokinetic,"Increases lithium toxicity","Renal interaction","Monitor lithium levels",90
Lithium,Diuretics,critical,pharmacokinetic,"Significant lithium increase","Renal interaction","Reduce lithium dose",88
Lithium,ACE Inhibitors,critical,pharmacokinetic,"Increased lithium levels","Renal interaction","Monitor lithium frequently",86
Benzodiazepines,Opioids,critical,pharmacodynamic,"Respiratory depression risk","CNS depression","Avoid combination",94
Tramadol,SSRIs,critical,pharmacodynamic,"Serotonin syndrome risk","Serotonergic effect","Monitor for symptoms",86
Codeine,CYP2D6 Inhibitors,moderate,pharmacokinetic,"Reduced codeine effectiveness","Metabolism issue","Monitor pain relief",78
Morphine,Benzodiazepines,critical,pharmacodynamic,"Severe respiratory depression","CNS depression","Avoid combination",92
Oxycodone,Benzodiazepines,critical,pharmacodynamic,"Increased overdose risk","Additive sedation","Avoid combination",91
Acetaminophen,Alcohol,critical,pharmacodynamic,"Liver damage risk","Hepatotoxicity","Avoid with chronic alcohol use",89
Aspirin,Ibuprofen,moderate,pharmacodynamic,"Increased GI bleeding","Dual NSAIDs","Avoid combination",79
Cyclosporine,Statins,critical,pharmacokinetic,"Increased statin toxicity","Drug interaction","Monitor for muscle pain",87
Methotrexate,NSAIDs,critical,pharmacodynamic,"Increased methotrexate toxicity","Renal interaction","Avoid combination",88
Protease Inhibitors,Statins,critical,pharmacokinetic,"Significantly increases statins","CYP3A4 inhibition","Use pravastatin instead",89
